央视,#genre#
CCTV-1 综合,http://39.184.224.99:9080/newlive/live/hls/1/live.m3u8
CCTV-1 综合,http://39.134.66.110/PLTV/88888888/224/3221225816/index.m3u8
CCTV-1 综合,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225804/index.m3u8
CCTV-1 综合,http://39.134.115.163:8080/PLTV/88888910/224/3221225618/index.m3u8
CCTV-1 综合,http://39.134.115.163:8080/PLTV/88888910/224/3221226221/index.m3u8
CCTV-1 综合,http://39.134.115.163:8080/PLTV/88888910/224/3221225918/index.m3u8
CCTV-1 综合,http://39.135.138.60:18890/PLTV/88888910/224/3221225618/index.m3u8

CCTV-2 财经,http://39.184.224.99:9080/newlive/live/hls/2/live.m3u8
CCTV-2 财经,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226195/index.m3u8
CCTV-2 财经,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225643/index.m3u8
CCTV-2 财经,http://39.135.138.58:18890/PLTV/88888888/224/3221225619/index.m3u8
CCTV-2 财经,http://39.135.138.58:18890/PLTV/88888910/224/3221225643/index.m3u8
CCTV-2 财经,http://39.135.138.58:18890/PLTV/88888888/224/3221225619/index.m3u8
CCTV-2 财经,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225500/index.m3u8?fmt=ts2hls

CCTV-3 综艺,http://39.184.224.99:9080/newlive/live/hls/3/live.m3u8
CCTV-3 综艺,http://39.134.66.110/PLTV/88888888/224/3221225799/index.m3u8
CCTV-3 综艺,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225647/index.m3u8
CCTV-3 综艺,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225647/index.m3u8
CCTV-3 综艺,http://39.135.138.58:18890/PLTV/88888888/224/3221225647/index.m3u8
CCTV-3 综艺,http://39.134.115.163:8080/PLTV/88888910/224/3221225647/index.m3u8
CCTV-3 综艺,http://183.63.15.42:9901/tsfile/live/0003_1.m3u8
CCTV-3 综艺,http://60.10.167.88:808/hls/3/index.m3u8
CCTV-3 综艺,http://39.135.138.59:18890/PLTV/88888910/224/3221225634/index.m3u8
CCTV-3 综艺,http://39.134.115.163:8080/PLTV/88888910/224/3221225634/index.m3u8
CCTV-3 综艺,http://39.135.138.60:18890/PLTV/88888910/224/3221225647/index.m3u8
CCTV-3 综艺,http://111.59.189.40:8445/tsfile/live/1002_1.m3u8
CCTV-3 综艺,http://39.135.138.60:18890/PLTV/88888910/224/3221225634/index.m3u8
CCTV-3 综艺,http://117.169.120.140:8080/live/cctv-3/.m3u8

CCTV-4 中文国际,http://39.184.224.99:9080/newlive/live/hls/4/live.m3u8
CCTV-4 中文国际,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226191/index.m3u8
CCTV-4 中文国际,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225621/index.m3u8
CCTV-4 中文国际,http://39.134.115.163:8080/PLTV/88888910/224/3221225621/index.m3u8
CCTV-4 中文国际,http://39.135.138.58:18890/PLTV/88888888/224/3221225621/index.m3u8?
CCTV-4 中文国际,http://183.63.15.42:9901/tsfile/live/0004_1.m3u8
CCTV-4 中文国际,http://39.135.138.60:18890/PLTV/88888910/224/3221225621/index.m3u8
CCTV-4 中文国际,http://39.134.115.163:8080/PLTV/88888910/224/3221225621/index.m3u8
CCTV-4 中文国际,http://39.134.115.163:8080/PLTV/88888910/224/3221225621/.m3u8
CCTV-4 中文国际,http://183.207.248.15/PLTV/3/224/3221225534/index.m3u8?
CCTV-4 中文国际,http://111.59.189.40:8445/tsfile/live/1003_1.m3u8

CCTV-5 体育,http://39.184.224.99:9080/newlive/live/hls/5/live.m3u8
CCTV-5 体育,http://39.134.24.161/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226395/index.m3u8
CCTV-5 体育,http://39.134.66.110/PLTV/88888888/224/3221225818/index.m3u8
CCTV-5 体育,http://39.135.138.58:18890/PLTV/88888888/224/3221225753/index.m3u8
CCTV-5 体育,http://39.135.138.58:18890/PLTV/88888888/224/3221225751/index.m3u8
CCTV-5 体育,http://183.63.15.42:9901/tsfile/live/0005_1.m3u8
CCTV-5 体育,http://39.134.115.163:8080/PLTV/88888910/224/3221225648/index.m3u8
CCTV-5 体育,http://1.195.111.251:11190/tsfile/live/0005_1.m3u8
CCTV-5 体育,http://58.34.204.67:9901/tsfile/live/0005_1.m3u8
CCTV-5 体育,http://39.134.115.163:8080/PLTV/88888910/224/3221225633/index.m3u8
CCTV-5 体育,http://39.135.138.58:18890/PLTV/88888888/224/3221225754/index.m3u8
CCTV-5 体育,http://121.51.249.6/4403-tx.otvstream.otvcloud.com/otv/skcc/live/channel1/2300.m3u8

CCTV-5+ 体育赛事,http://39.134.66.110/PLTV/88888888/224/3221225507/index.m3u8
CCTV-5+ 体育赛事,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225761/index.m3u8
CCTV-5+ 体育赛事,http://39.134.115.163:8080/PLTV/88888910/224/3221225649/index.m3u8
CCTV-5+ 体育赛事,http://39.135.138.58:18890/PLTV/88888888/224/3221225649/index.m3u8
CCTV-5+ 体育赛事,http://39.134.116.30:8080/PLTV/88888910/224/3221225649/index.m3u8
CCTV-5+ 体育赛事,http://39.134.115.163:8080/PLTV/88888910/224/3221225649/index.m3u8
CCTV-5+ 体育赛事,http://60.10.167.88:808/hls/17/index.m3u8
CCTV-5+ 体育赛事,http://39.135.138.60:18890/PLTV/88888910/224/3221225649/index.m3u8
CCTV-5+ 体育赛事,http://39.134.115.163:8080/PLTV/88888910/224/3221225706/index.m3u8
CCTV-5+ 体育赛事,http://111.59.189.40:8445/tsfile/live/1018_1.m3u8

CCTV-6 电影,http://39.184.224.99:9080/newlive/live/hls/6/live.m3u8
CCTV-6 电影,http://39.134.66.110/PLTV/88888888/224/3221225814/index.m3u8
CCTV-6 电影,http://39.135.138.59:18890/PLTV/88888910/224/3221225650/index.m3u8
CCTV-6 电影,http://39.135.138.58:18890/TVOD/88888888/224/3221225650/index.m3u8
CCTV-6 电影,http://39.134.115.163:8080/PLTV/88888910/224/3221225650/index.m3u8
CCTV-6 电影,http://39.135.138.58:18890/PLTV/88888888/224/3221225632/index.m3u8
CCTV-6 电影,http://39.135.138.59:18890/PLTV/88888910/224/3221225632/index.m3u8
CCTV-6 电影,http://60.10.167.88:808/hls/6/index.m3u8
CCTV-6 电影,http://39.134.115.163:8080/PLTV/88888910/224/3221225632/index.m3u8
CCTV-6 电影,http://222.240.82.92:9901/tsfile/live/0006_1.m3u8
CCTV-6 电影,http://111.59.189.40:8445/tsfile/live/1004_1.m3u8
CCTV-6 电影,http://117.169.120.140:8080/live/cctv-6/.m3u8

CCTV-7 国防军事,http://39.184.224.99:9080/newlive/live/hls/7/live.m3u8
CCTV-7 国防军事,http://39.134.66.110/PLTV/88888888/224/3221225671/index.m3u8
CCTV-7 国防军事,http://39.135.138.60:18890/PLTV/88888910/224/3221225624/index.m3u8
CCTV-7 国防军事,http://60.10.167.88:808/hls/7/index.m3u8
CCTV-7 国防军事,http://39.135.138.58:18890/PLTV/88888910/224/3221225624/index.m3u8
CCTV-7 国防军事,http://39.135.138.58:18890/PLTV/88888888/224/3221225624/index.m3u8
CCTV-7 国防军事,http://39.135.138.60:18890/PLTV/88888910/224/3221225624/index.m3u8
CCTV-7 国防军事,http://183.63.15.42:9901/tsfile/live/0007_1.m3u8
CCTV-7 国防军事,http://39.134.115.163:8080/PLTV/88888910/224/3221225624/index.m3u8
CCTV-7 国防军事,http://39.135.138.59:18890/PLTV/88888910/224/3221225644/index.m3u8
CCTV-7 国防军事,http://112.19.214.90:8883/tsfile/live/0007_1.m3u8
CCTV-7 国防军事,http://39.134.115.163:8080/PLTV/88888910/224/3221225644/index.m3u8
CCTV-7 国防军事,http://222.240.82.92:9901/tsfile/live/0007_1.m3u8
CCTV-7 国防军事,http://39.134.115.163:8080/PLTV/88888910/224/3221225624/index.m3u8

CCTV-8 电视剧,http://39.184.224.99:9080/newlive/live/hls/8/live.m3u8
CCTV-8 电视剧,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226012/index.m3u8
CCTV-8 电视剧,http://39.134.66.110/PLTV/88888888/224/3221225795/index.m3u8
CCTV-8 电视剧,http://39.135.138.60:18890/PLTV/88888910/224/3221225635/index.m3u8
CCTV-8 电视剧,http://183.63.15.42:9901/tsfile/live/0008_1.m3u8
CCTV-8 电视剧,http://39.135.138.60:18890/PLTV/88888910/224/3221225635/index.m3u8
CCTV-8 电视剧,http://222.240.82.92:9901/tsfile/live/0008_1.m3u8
CCTV-8 电视剧,http://125.40.191.58:9901/tsfile/live/1007_1.m3u8
CCTV-8 电视剧,http://39.135.138.58:18890/PLTV/88888888/224/3221225635/index.m3u8
CCTV-8 电视剧,http://39.134.115.163:8080/PLTV/88888910/224/3221225635/index.m3u8
CCTV-8 电视剧,http://112.19.214.90:8883/tsfile/live/0008_1.m3u8
CCTV-8 电视剧,http://39.135.138.59:18890/PLTV/88888910/224/3221225631/index.m3u8
CCTV-8 电视剧,http://117.169.120.140:8080/live/cctv-8/.m3u8
CCTV-8 电视剧,http://39.134.115.163:8080/PLTV/88888910/224/3221225635/index.m3u8

CCTV-9 纪录,http://39.184.224.99:9080/newlive/live/hls/9/live.m3u8
CCTV-9 纪录,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226197/index.m3u8
CCTV-9 纪录,http://39.134.66.110/PLTV/88888888/224/3221225676/index.m3u8
CCTV-9 纪录,http://39.135.138.59:18890/PLTV/88888910/224/3221225626/index.m3u8
CCTV-9 纪录,http://60.10.167.88:808/hls/9/index.m3u8
CCTV-9 纪录,http://39.135.138.58:18890/TVOD/88888888/224/3221225626/index.m3u8
CCTV-9 纪录,http://39.135.138.59:18890/PLTV/88888910/224/3221225626/index.m3u8
CCTV-9 纪录,http://39.134.115.163:8080/PLTV/88888910/224/3221225626/index.m3u8
CCTV-9 纪录,http://39.134.115.163:8080/PLTV/88888910/224/3221225646/index.m3u8
CCTV-9 纪录,http://112.19.214.90:8883/tsfile/live/0009_1.m3u8
CCTV-9 纪录,http://39.135.138.59:18890/PLTV/88888910/224/3221225646/index.m3u8
CCTV-9 纪录,http://39.135.138.60:18890/PLTV/88888910/224/3221225646/index.m3u8
CCTV-9 纪录,http://111.59.189.40:8445/tsfile/live/1007_1.m3u8
CCTV-9 纪录,http://117.169.120.140:8080/live/cctv-9/.m3u8

CCTV-10 科教,http://39.184.224.99:9080/newlive/live/hls/10/live.m3u8
CCTV-10 科教,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226189/index.m3u8
CCTV-10 科教,http://39.134.66.110/PLTV/88888888/224/3221225677/index.m3u8
CCTV-10 科教,http://39.134.66.66/PLTV/88888888/224/3221225677/index.m3u8
CCTV-10 科教,http://39.134.115.163:8080/PLTV/88888910/224/3221225627/index.m3u8
CCTV-10 科教,http://39.135.138.60:18890/PLTV/88888910/224/3221225636/index.m3u8
CCTV-10 科教,http://39.135.138.59:18890/PLTV/88888910/224/3221225636/index.m3u8
CCTV-10 科教,http://39.134.115.163:8080/PLTV/88888910/224/3221225636/index.m3u8
CCTV-10 科教,http://39.135.138.59:18890/PLTV/88888910/224/3221225627/index.m3u8

CCTV-11 戏曲,http://39.184.224.99:9080/newlive/live/hls/11/live.m3u8
CCTV-11 戏曲,http://39.134.65.162/PLTV/88888888/224/3221225517/index.m3u8
CCTV-11 戏曲,http://hwrr.jx.chinamobile.com:8080/PLTV/88888910/224/3221225628/index.m3u8
CCTV-11 戏曲,http://39.135.138.58:18890/PLTV/88888888/224/3221225628/index.m3u8
CCTV-11 戏曲,http://39.135.138.60:18890/PLTV/88888910/224/3221225628/index.m3u8
CCTV-11 戏曲,http://39.135.138.59:18890/PLTV/88888910/224/3221225628/index.m3u8
CCTV-11 戏曲,http://39.134.115.163:8080/PLTV/88888910/224/3221225628/index.m3u8
CCTV-11 戏曲,http://39.134.115.163:8080/PLTV-/88888910/224/3221225628/index.m3u8
CCTV-11 戏曲,http://117.169.120.140:8080/live/cctv-11/.m3u8

CCTV-12 社会与法,http://39.184.224.99:9080/newlive/live/hls/12/live.m3u8
CCTV-12 社会与法,http://39.134.66.110/PLTV/88888888/224/3221225669/index.m3u8
CCTV-12 社会与法,http://39.134.66.66/PLTV/88888888/224/3221225669/index.m3u8
CCTV-12 社会与法,http://ncyd.jilu8.cn/PLTV/88888910/224/3221225629/index.m3u8
CCTV-12 社会与法,http://39.135.138.59:18890/PLTV/88888910/224/3221225629/index.m3u8
CCTV-12 社会与法,http://39.134.115.163:8080/PLTV/88888910/224/3221225629/index.m3u8
CCTV-12 社会与法,http://39.135.138.60:18890/PLTV/88888910/224/3221225637/index.m3u8
CCTV-12 社会与法,http://39.134.115.163:8080/PLTV/88888910/224/3221225637/index.m3u8

CCTV-13 新闻,http://221.2.36.34:8888/newlive/live/hls/15/live.m3u8
CCTV-13 新闻,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226233/index.m3u8
CCTV-13 新闻,http://cctvwbndbd.a.bdydns.com/cctvwbnd/cctv13_2/index.m3u8
CCTV-13 新闻,http://39.134.115.163:8080/PLTV/88888910/224/3221225638/index.m3u8
CCTV-13 新闻,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225638/index.m3u8
CCTV-13 新闻,http://39.134.115.163:8080/PLTV/88888910/224/3221225638/index.m3u8
CCTV-13 新闻,http://39.135.138.59:18890/PLTV/88888910/224/3221225638/index.m3u8
CCTV-13 新闻,http://39.135.138.60:18890/PLTV/88888910/224/3221225638/index.m3u8
CCTV-13 新闻,http://117.169.120.140:8080/live/cctv-13/.m3u8

CCTV-14 少儿,http://39.134.66.66/PLTV/88888888/224/3221225674/index.m3u8
CCTV-14 少儿,http://111.40.196.38/PLTV/88888888/224/3221225573/index.m3u8
CCTV-14 少儿,http://39.184.224.99:9080/newlive/live/hls/14/live.m3u8
CCTV-14 少儿,http://39.134.66.110/PLTV/88888888/224/3221225674/index.m3u8
CCTV-15 音乐,http://221.2.36.34:8888/newlive/live/hls/17/live.m3u8
CCTV-15 音乐,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225785/index.m3u8

CCTV-16 奥林匹克,http://117.169.124.149:8080/live/HD-8000k-1080P-cctv16/1.m3u8
CCTV-16 奥林匹克,http://117.169.124.149:8080/live/HD-4000k-1080P-cctv16/1.m3u8
CCTV-16 奥林匹克,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226921/index.m3u8
